Latitude,Longitude,Elevation,Name
1378684.4456384103,432431.8314037928,-16.931125,Channel 214
1378683.8276384103,432432.03152879275,-16.94675,Channel 215
1378683.2096384102,432432.2316537928,-16.962375,Channel 216
1378682.5916384102,432432.43177879276,-16.978,Channel 217
1378682.5916384102,432432.43177879276,-16.978,Channel 218
1378677.6857279625,432425.44055491214,-16.771179104477614,Channel 219
1378672.7798175148,432418.4493310316,-16.564358208955227,Channel 220
1378667.8739070669,432411.458107151,-16.357537313432836,Channel 221
1378662.9679966192,432404.46688327036,-16.15071641791045,Channel 222
1378658.0620861715,432397.47565938975,-15.943895522388061,Channel 223
1378653.1561757238,432390.4844355092,-15.737074626865674,Channel 224
1378648.2502652758,432383.4932116286,-15.530253731343285,Channel 225
1378643.3443548281,432376.50198774796,-15.323432835820897,Channel 226
1378638.4384443804,432369.5107638674,-15.116611940298508,Channel 227
1378633.5325339327,432362.5195399868,-14.90979104477612,Channel 228
1378628.6266234848,432355.5283161062,-14.702970149253733,Channel 229
1378623.720713037,432348.5370922256,-14.496149253731344,Channel 230
1378618.8148025894,432341.545868345,-14.289328358208957,Channel 231
1378613.9088921417,432334.5546444644,-14.082507462686568,Channel 232
1378609.0029816937,432327.5634205838,-13.87568656716418,Channel 233
1378604.097071246,432320.57219670323,-13.668865671641793,Channel 234
1378599.1911607983,432313.5809728226,-13.462044776119404,Channel 235
1378594.2852503506,432306.589748942,-13.255223880597017,Channel 236
1378589.3793399027,432299.59852506145,-13.048402985074627,Channel 237
1378584.473429455,432292.60730118083,-12.84158208955224,Channel 238
1378579.5675190073,432285.6160773002,-12.634761194029853,Channel 239
1378574.6616085595,432278.62485341966,-12.427940298507464,Channel 240
1378569.7556981118,432271.63362953905,-12.221119402985074,Channel 241
1378564.849787664,432264.64240565844,-12.014298507462687,Channel 242
1378559.9438772162,432257.6511817778,-11.8074776119403,Channel 243
1378555.0379667685,432250.65995789727,-11.600656716417912,Channel 244
1378550.1320563208,432243.66873401665,-11.393835820895523,Channel 245
1378545.2261458728,432236.67751013604,-11.187014925373134,Channel 246
1378540.3202354251,432229.6862862555,-10.980194029850747,Channel 247
1378535.4143249774,432222.69506237487,-10.77337313432836,Channel 248
1378530.5084145297,432215.70383849426,-10.566552238805972,Channel 249
1378525.6025040818,432208.7126146137,-10.359731343283583,Channel 250
1378520.696593634,432201.7213907331,-10.152910447761194,Channel 251
1378515.7906831864,432194.7301668525,-9.946089552238806,Channel 252
1378510.8847727387,432187.73894297186,-9.739268656716419,Channel 253
1378505.9788622907,432180.7477190913,-9.532447761194032,Channel 254
1378501.072951843,432173.7564952107,-9.325626865671643,Channel 255
1378496.1670413953,432166.7652713301,-9.118805970149253,Channel 256
1378491.2611309476,432159.7740474495,-8.911985074626866,Channel 257
1378486.3552204997,432152.7828235689,-8.705164179104479,Channel 258
1378481.449310052,432145.7915996883,-8.49834328358209,Channel 259
1378476.5433996043,432138.80037580774,-8.291522388059702,Channel 260
1378471.6374891566,432131.8091519271,-8.084701492537315,Channel 261
1378466.7315787086,432124.8179280465,-7.877880597014926,Channel 262
1378461.825668261,432117.8267041659,-7.671059701492538,Channel 263
1378456.9197578132,432110.83548028534,-7.464238805970149,Channel 264
1378452.0138473655,432103.8442564047,-7.257417910447762,Channel 265
1378447.1079369178,432096.8530325241,-7.050597014925373,Channel 266
1378442.2020264699,432089.86180864356,-6.843776119402985,Channel 267
1378437.2961160222,432082.87058476295,-6.636955223880598,Channel 268
1378432.3902055745,432075.87936088233,-6.430134328358209,Channel 269
1378427.4842951267,432068.8881370018,-6.2233134328358215,Channel 270
1378422.5783846788,432061.89691312116,-6.016492537313432,Channel 271
1378417.672474231,432054.90568924055,-5.809671641791045,Channel 272
1378412.7665637834,432047.91446535994,-5.602850746268658,Channel 273
1378407.8606533357,432040.9232414794,-5.3960298507462685,Channel 274
1378402.9547428878,432033.93201759877,-5.189208955223881,Channel 275
1378398.04883244,432026.94079371815,-4.982388059701492,Channel 276
1378393.1429219923,432019.9495698376,-4.775567164179105,Channel 277
1378388.2370115446,432012.958345957,-4.568746268656717,Channel 278
1378383.3311010967,432005.96712207637,-4.361925373134328,Channel 279
1378378.425190649,431998.9758981958,-4.155104477611941,Channel 280
1378373.5192802013,431991.9846743152,-3.9482835820895517,Channel 281
1378368.6133697536,431984.9934504346,-3.7414626865671643,Channel 282
1378363.7074593056,431978.002226554,-3.534641791044777,Channel 283
1378358.801548858,431971.0110026734,-3.327820895522388,Channel 284
1378353.8956384102,431964.0197787928,-3.121,Channel 285
1378353.8956384102,431964.0197787928,-3.121,Channel 286
1378351.2262384102,431963.46497879276,-3.0974,Channel 287
1378348.5568384102,431962.9101787928,-3.0738,Channel 288
1378345.8874384102,431962.35537879274,-3.0502000000000002,Channel 289
1378343.2180384102,431961.80057879275,-3.0266,Channel 290
1378340.5486384102,431961.2457787927,-3.003,Channel 291
1378340.5486384102,431961.2457787927,-3.003,Channel 292
1378338.537310824,431967.6912098272,-3.057637931034483,Channel 293
1378336.5259832377,431974.1366408617,-3.1122758620689654,Channel 294
1378334.5146556515,431980.5820718962,-3.1669137931034483,Channel 295
1378332.5033280654,431987.02750293066,-3.2215517241379312,Channel 296
1378330.4920004793,431993.47293396515,-3.2761896551724137,Channel 297
1378328.4806728929,431999.9183649996,-3.3308275862068966,Channel 298
1378326.4693453067,432006.3637960341,-3.3854655172413795,Channel 299
1378324.4580177206,432012.80922706856,-3.4401034482758623,Channel 300
1378322.4466901342,432019.25465810305,-3.494741379310345,Channel 301
1378320.435362548,432025.70008913754,-3.5493793103448277,Channel 302
1378318.424034962,432032.145520172,-3.60401724137931,Channel 303
1378316.4127073756,432038.5909512065,-3.658655172413793,Channel 304
1378314.4013797895,432045.036382241,-3.713293103448276,Channel 305
1378312.3900522033,432051.4818132755,-3.767931034482759,Channel 306
1378310.3787246172,432057.92724431,-3.8225689655172412,Channel 307
1378308.3673970308,432064.37267534446,-3.877206896551724,Channel 308
1378306.3560694447,432070.81810637895,-3.931844827586207,Channel 309
1378304.3447418585,432077.2635374134,-3.9864827586206895,Channel 310
1378302.3334142722,432083.70896844787,-4.041120689655172,Channel 311
1378300.322086686,432090.15439948236,-4.095758620689655,Channel 312
1378298.3107591,432096.59983051685,-4.150396551724138,Channel 313
1378296.2994315138,432103.04526155133,-4.20503448275862,Channel 314
1378294.2881039274,432109.4906925858,-4.259672413793103,Channel 315
1378292.2767763413,432115.9361236203,-4.314310344827586,Channel 316
1378290.2654487551,432122.3815546548,-4.368948275862069,Channel 317
1378288.2541211687,432128.8269856893,-4.423586206896552,Channel 318
1378286.2427935826,432135.2724167238,-4.478224137931035,Channel 319
1378284.2314659965,432141.71784775826,-4.5328620689655175,Channel 320
1378282.22013841,432148.16327879275,-4.5875,Channel 321
